KM,TotalCost,State,Model,CausalPart,FailureDescription,Tags
8872,370.03,mi,cf10543,wheel asm-strg *jet black,replaced steering wheel now okay,['replaced steering wheel']
16346,307.32,mn,tf10543,module asm-strg whl ht cont,"checked - found dtc's u0229 - u1530 set in bcm. found pip5883j, verifi ed rpo options. tested per si - was inconclusive.testedperwiring sc hematic - all circuits tested ok. looks like faulty heated s-w module. ordered new module 9-26-23.1-2, replacedheated s-w module.","['pip5883j', 'faulty heated s-w module', 's-w module', 'verifi ed rpo options', 'all circuits', 'hematic', 'bcm', 'new module', ""checked - found dtc's u0229 - u1530 set""]"
15500,445.28,wi,cf10543,wheel asm-strg *jet black,steering wheel replacement,['wheel replacement']
14,216.75,ne,tf10543,harness asm-strg whl horn sw wrg,remove and replace steering wheel wire harness,['steering wheel wire harness']
4065,427.08,oh,cf10543,wheel asm-strg *jet black,replaced steering wheel,['replaced steering wheel']
31611,27.69,oh,tf18543,nan,technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,"['technician', 'properly adjusted trim', 'the customer concern', 'the steering column plastic trim']"
6204,457.225,pa,cf10543,wheel asm-strg *jet black,"gained access and removed old steering wheel after disconnecting battery negative. installed new steering wheel, applied loctite tobolt that retains steering wheel. tighted bolt. re installed air bag, re installed trim. re connected battery, checked for anyprotruding from steering wheel molding, all ok now gm authorization# 490759800000","['wheel molding', 'that', 'connected battery', 'installed air bag', 'steering wheel', 'loctite tobolt', 'bolt', 'access', 'installed trim', 'installed new steering wheel', 'old steering wheel']"
70354,322.13,oh,6nh26,wheel asm-strg *dark titaniu,tech replaced steering wheel to correct pra 487188600000,"['pra', 'tech replaced steering wheel']"
19743,562.5,mo,6dc79,wheel asm-strg *black,replaced heated steering wheel,['replaced heated steering wheel']
17675,63.1,oh,cf20743,cover-strg whl airbag acc hole *jet black,checked and verified customer concern and found trim piece loose remov ed replaced trim piece on the back of the passenger side ofsteering w heel complete,"['trim piece', 'the back', 'customer concern', 'w heel complete', 'the passenger side', 'trim piece loose remov ed']"
21295,457.225,tx,tc10906,harness asm-strg whl horn sw wrg,"verified customer concern about a horn inop. i followed document 4374183 to diagnose this concern. i monitored scan tool data forthe horn activation while pressing the horn and it was changing intermittently. i then tested circuits 3287 at the steering wheelfor a short and all was ok, i then tested circuit 6051 and ground circuit had no high resistance. i then tested terminal tension onthe steering wheel harness and found loose tension on the horn connection and required a harness replacement i then replaced thesteering wheel harness. after repairs, the vehicle is now honking as designed","['the horn', 'scan tool data forthe horn activation', 'the vehicle', 'the horn connection', 'document', 'onthe steering wheel harness', 'terminal tension', 'a horn', 'repairs', 'the steering', 'loose tension', 'a harness replacement', 'verified customer concern', 'no high resistance', 'all', 'this concern', 'ground circuit', 'circuit', 'thesteering wheel harness', 'circuits']"
42079,457.47,mi,1fg48,wheel asm-strg *jet black,"replace steering wheel check ok 1699-,0130",['wheel check']
17774,395.44,mi,1nx56,wheel asm-strg * jet black,installed special ordered steering wheel due to threads fraying on whe el 0130 .4 629,"['threads', 'special ordered steering wheel', 'whe el']"
34161,31.6,ab,tf30743,nan,"reconnected horn checked operation, ok.","['operation', 'reconnected horn']"
34260,621.34,tx,tf10543,wheel asm-strg *black,"pra approved, pra #495794600000 found the steering wheel to be coming apart. replaced the steering wheel. verified repair.","['pra', 'the steering wheel', 'verified repair']"
24129,386.62,pa,6nh26,cover-strg whl spoke *linear galaxd,replaced steering wheel trim ring,['steering wheel trim ring']
35914,436.5,tx,1nx56,wheel asm-strg * jet black,leather pulling away from wheel 0130 0.40 replacedsteering wheel pre auth 488737400000,"['0.40 replacedsteering wheel', 'leather', 'wheel']"
32616,454.63,fl,tf10906,wheel asm-strg *very dark at,replaced steering wheel no further action required.,"['no further action', 'replaced steering wheel']"
8678,456.98,nd,cf10543,wheel asm-strg *jet black,replaced steering wheel,['replaced steering wheel']
24983,299.77,co,cf18543,wheel asm-strg *jet black,0130 labor 0.4 -removed and replaced steering wheel with correct unit. verified operation.,"['correct unit', 'steering wheel', 'verified operation', '0130 labor']"
24925,432.68,il,cf10543,wheel asm-strg *jet black,"per last repair order, replaced steering wheel. pra#493156300000","['last repair order', 'steering wheel']"
